User Ticker,Resolved Ticker,Currency
OXY,NYSE:OXY,USD
AMZN,NASDAQ:AMZN,USD
GOOGL,NASDAQ:GOOGL,USD
GOOG,NASDAQ:GOOG,USD
COST,NASDAQ:COST,USD
CB,NYSE:CB,USD
TEM,NASDAQ:TEM,USD
AI,NYSE:AI,USD
ENTG,NASDAQ:ENTG,USD
PANW,NASDAQ:PANW,USD
NVDA,NASDAQ:NVDA,USD
TSLA,NASDAQ:TSLA,USD
AXP,NYSE:AXP,USD
COIN,NASDAQ:COIN,USD
CDNS,NASDAQ:CDNS,USD
ARM,NASDAQ:ARM,USD
QCOM,NASDAQ:QCOM,USD
ASML,AMS:ASML,EUR
ASML-US,NASDAQ:ASML,USD
WPM,NYSE:WPM,USD
TER,NASDAQ:TER,USD
APP,NASDAQ:APP,USD
TSMC,NYSE:TSM,USD
MSTR,NASDAQ:MSTR,USD
ALB,NYSE:ALB,USD
RIO,NYSE:RIO,USD
FCX,NYSE:FCX,USD
SCCO,NYSE:SCCO,USD
GLEN,LON:GLEN,GBX
NEM,NYSE:NEM,USD
ANTO,LON:ANTO,GBX
VALE,NYSE:VALE,USD
MP,NYSE:MP,USD
SQM,NYSE:SQM,USD
ALB,NYSE:ALB,USD
OKE,NYSE:OKE,USD
TTD,NASDAQ:TTD,USD
PCG,NYSE:PCG,USD
GDDY,NYSE:GDDY,USD
META,NASDAQ:META,USD
BMNR,AMEX:BMNR,USD
CLNX,BME:CLNX,EUR
CTRA,NYSE:CTRA,USD
MA,NYSE:MA,USD
VG,NYSE:VG,USD
LNG,NYSE:LNG,USD
DVN,NYSE:DVN,USD
SW,NYSE:SW,USD
HDB,NYSE:HDB,USD
SE,NYSE:SE,USD
CCJ,NYSE:CCJ,USD
TAC,NYSE:TAC,USD
DLR,NYSE:DLR,USD
SLB,NYSE:SLB,USD
ETN,NYSE:ETN,USD
MTDR,NYSE:MTDR,USD
PBR,NYSE:PBR,USD
IREN,NASDAQ:IREN,USD
AGI,NYSE:AGI,USD
OLLI,NASDAQ:OLLI,USD
BJ,NYSE:BJ,USD
GO,NASDAQ:GO,USD
ACI,NYSE:ACI,USD
MNSO,NYSE:MNSO,USD
MELI,NASDAQ:MELI,USD
CPNG,NYSE:CPNG,USD
JD,NASDAQ:JD,USD
PDD,NASDAQ:PDD,USD
GLBE,NASDAQ:GLBE,USD
IBN,NYSE:IBN,USD
RGTI,NASDAQ:RGTI,USD
IONQ,NYSE:IONQ,USD
CEG,NASDAQ:CEG,USD
TLW,LON:TLW,GBX
ORCL,NYSE:ORCL,USD
CRM,NYSE:CRM,USD
ZS,NASDAQ:ZS,USD
TRMB,NASDAQ:TRMB,USD
FUTR,LON:FUTR,GBX
SSRM,NASDAQ:SSRM,USD
BVN,NYSE:BVN,USD
AMD,NASDAQ:AMD,USD
CVX,NYSE:CVX,USD
INTC,NASDAQ:INTC,USD
USAR,NASDAQ:USAR,USD
TA,TA.TO,CAD
AEM,NYSE:AEM,USD
COPX,NYSEARCA:COPX,USD
ANA,BME:ANE,EUR
KHC,NASDAQ:KHC,USD
NXT,NASDAQ:NXT,USD
LW,NYSE:LW,USD
VRT,NYSE:VRT,USD
V,NYSE:V,USD
DE,NYSE:DE,USD
BX,NYSE:BX,USD
